Country Name,Total Infected,Total Deaths,Total Recovered,Death %,Recovered %
Montenegro,152087,2207,144828,1.5,95.2
Mozambique,151427,1936,151382,1.3,100
Zimbabwe,133438,4697,128287,3.5,96.1
Ghana,130649,1206,128331,0.9,98.2
Namibia,129060,3565,125354,2.8,97.1
Uganda,126965,3239,97025,2.6,76.4
Cyprus,124225,577,90755,0.5,73.1
Cambodia,119588,2872,115979,2.4,97
El Salvador,117884,3728,100780,3.2,85.5
Cameroon,106190,1770,102716,1.7,96.7
Rwanda,100136,1338,45519,1.3,45.5
China,98315,4636,92332,4.7,93.9
Jamaica,90209,2327,60594,2.6,67.2
Maldives,89840,247,87384,0.3,97.3
Luxembourg,84248,855,80572,1,95.6
Senegal,73958,1881,72063,2.5,97.4
Angola,64913,1727,61687,2.7,95
Trinidad and Tobago,62267,1858,53578,3,86
Malawi,61843,2302,58604,3.7,94.8
DRC,57729,1099,50930,1.9,88.2
R̩union,55865,376,54058,0.7,96.8
Guadeloupe,54920,745,2250,1.4,4.1
Fiji,52397,679,50316,1.3,96
Suriname,50078,1139,29529,2.3,59
Syria,46275,2666,27675,5.8,59.8
French Guiana,45366,322,11254,0.7,24.8
Martinique,43881,700,104,1.6,0.2
Madagascar,43672,964,42545,2.2,97.4
Sudan,40238,3099,32905,7.7,81.8
French Polynesia,40178,636,33500,1.6,83.4
Malta,38255,462,36797,1.2,96.2
Mauritania,38133,807,36570,2.1,95.9
Guyana,36817,959,33504,2.6,91
Gabon,36692,266,30083,0.7,82
Papua New Guinea,32985,436,31244,1.3,94.7
Guinea,30715,387,29650,1.3,96.5
Belize,28899,534,26418,1.8,91.4
Tanzania,26196,725,183,2.8,0.7
Togo,26158,243,25813,0.9,98.7
Benin,24833,161,24546,0.6,98.8
Haiti,24543,708,20675,2.9,84.2
Somalia,22837,1313,11189,5.7,49
Seychelles,22633,122,22191,0.5,98
Bahamas,22572,665,21512,2.9,95.3
Barbados,22093,193,13639,0.9,61.7
Lesotho,21691,661,13098,3,60.4
Mayotte,20769,185,2964,0.9,14.3
Burundi,20221,38,773,0.2,3.8
Timor-Leste,19810,122,19682,0.6,99.4
Mauritius,18979,240,1854,1.3,9.8
Congo,18153,309,12421,1.7,68.4
Cura̤ao,17225,175,16952,1,98.4
Tajikistan,17091,124,16965,0.7,99.3
Nicaragua,16877,207,4225,1.2,25
Mali,16666,585,14836,3.5,89
Taiwan,16496,848,15532,5.1,94.2
Aruba,16083,172,15767,1.1,98
Andorra,15819,130,15443,0.8,97.6
Iceland,15741,34,14015,0.2,89
Burkina Faso,15281,234,14833,1.5,97.1
Channel Islands,14519,100,13250,0.7,91.3
Brunei,14215,96,13562,0.7,95.4
Djibouti,13495,186,13284,1.4,98.4
Equatorial Guinea,13485,168,13110,1.2,97.2
Saint Lucia,12837,270,12318,2.1,96
South Sudan,12558,133,12169,1.1,96.9
Hong Kong,12388,213,12092,1.7,97.6
Central African Republic,11666,101,6859,0.9,58.8
New Caledonia,11620,272,58,2.3,0.5
Isle of Man,10255,64,9837,0.6,95.9
Gambia,9980,341,9624,3.4,96.4
Yemen,9918,1923,6623,19.4,66.8
New Zealand,8866,34,5176,0.4,58.4
Eritrea,7055,51,6862,0.7,97.3
Niger,6692,232,6218,3.5,92.9
Gibraltar,6561,98,5991,1.5,91.3
Guinea-Bissau,6402,144,6080,2.2,95
Sierra Leone,6396,121,4393,1.9,68.7
Liberia,5915,287,5458,4.9,92.3
Grenada,5863,200,5601,3.4,95.5
Bermuda,5708,106,5544,1.9,97.1
San Marino,5598,92,5439,1.6,97.2
Dominica,5336,35,4937,0.7,92.5
Saint Vincent and the Grenadines,5270,71,3978,1.3,75.5
Chad,5105,175,4874,3.4,95.5
Sint Maarten,4532,75,4428,1.7,97.7
Comoros,4396,149,4161,3.4,94.7
Cayman Islands,4203,2,1352,0,32.2
Antigua and Barbuda,4118,107,3902,2.6,94.8
Saint Martin,3872,56,1399,1.4,36.1
Liechtenstein,3822,61,3615,1.6,94.6
Monaco,3478,36,3400,1,97.8
Faroe Islands,2939,8,2365,0.3,80.5
Saint Kitts and Nevis,2749,27,2649,1,96.4
British Virgin Islands,2725,37,2649,1.4,97.2
Caribbean Netherlands,2628,21,2498,0.8,95.1
Bhutan,2625,3,2616,0.1,99.7
Anguilla,1137,4,1053,0.4,92.6
Greenland,990,0,870,0,87.9
Diamond Princess,712,13,699,1.8,98.2
Wallis and Futuna,445,7,438,1.6,98.4
Macao,77,0,76,0,98.7
Montserrat,41,1,40,2.4,97.6
Solomon Islands,20,0,20,0,100
Western Sahara,10,1,8,10,80
Palau,8,0,8,0,100
Vanuatu,6,1,3,16.7,50
Marshall Islands,4,0,4,0,100
Samoa,3,0,3,0,100
Micronesia,1,0,1,0,100
Tonga,1,0,,0,0
